algorithm,case,n,RMSE_w1,RMSE_w2,RMSE_μ1,RMSE_μ2,RMSE_σ1,RMSE_σ2,bias_w1,bias_w2,bias_μ1,bias_μ2,bias_σ1,bias_σ2,median_loglik
EM,4,100,8.820853616571286,8.820853616571286,37.898658625614544,30.088267607256974,16.79089680385691,14.886919926571016,0.2500903240081336,-0.25009032400813364,0.8539753132344278,-0.39426550542067074,0.45552936041057984,-0.38274698247025485,-136.00080793350517
EM,4,150,8.656999498639756,8.656999498639756,38.86828184330223,30.67915233404961,16.911605611209705,14.952405731127262,0.24569603632463838,-0.24569603632463843,0.8870654478789092,-0.44870070372301707,0.4577660390575338,-0.3855669837124862,-204.4697054357337
EM,4,200,8.532378947160428,8.532378947160428,38.12232054831541,30.307112972907746,16.873643328911058,14.79121512868074,0.24094843217385742,-0.24094843217385742,0.859832203621747,-0.44874847070452883,0.4555579314394767,-0.3786518626612343,-273.6012502840947
EM,4,300,8.491733322307244,8.491733322307244,36.79137004112348,30.036001528599872,16.533231306331867,14.697841442961664,0.23884433215598544,-0.23884433215598544,0.816515894060742,-0.4238144524920848,0.4465790581619736,-0.3731444681084237,-411.5412726711651
DE,1,30,8.21455801450866,8.214558014508663,15.135016770219943,14.267010557440102,22.541220030969566,19.955412093503224,-0.17081053572514682,0.17081053572514698,0.006214362622019427,0.0024604641871192787,-0.5493427300264927,0.4409014582198983,-10.404468956989408
DE,1,50,7.882060711409224,7.882060711409226,9.378888744156123,9.776698445109867,22.262614460603558,21.25154864674481,-0.16463878827280687,0.16463878827280692,-0.011167414702604964,-0.009288394436028014,-0.5182053674694013,0.46892064282778756,-21.016105742567582
DE,1,100,7.906291475909454,7.906291475909455,8.977616515185709,11.306661440062143,22.121740485902215,21.774948737313405,-0.16551557016140017,0.16551557016140023,0.007803240705065093,0.0010313651122720077,-0.5005877968791972,0.48276903187477616,-43.826994156537026
DE,1,150,8.121276615644774,8.121276615644778,10.90066092610948,10.022858192243396,23.103678643745884,22.941057466536833,-0.17875114381173057,0.17875114381173057,-0.014411660896947088,-0.01977045773732275,-0.5421703585065176,0.5328421396245704,-68.12661802421293
DE,1,200,7.944269411883498,7.944269411883501,8.711868262798498,12.014735755031731,22.53363303730684,22.34551574529332,-0.17120703147258637,0.17120703147258648,-0.0022701451016916333,0.020750681791154257,-0.5169738022619166,0.5062512402158128,-88.80015748423537
DE,1,300,7.949102027673175,7.949102027673177,10.859224026764624,11.29648637655828,22.35765416918632,22.129811662098852,-0.17004938759996707,0.17004938759996718,0.011900418378679303,0.0015840828667591565,-0.5066864626653154,0.4977925902588485,-136.4167408565412
DE,2,30,3.9476025995254367,3.947602599525437,44.96013917755161,44.624506390987804,4.935146820111856,4.773149586667736,-0.003727986639583125,0.0037279866395832917,0.9830987857512347,-0.9904782530827065,-0.03427047863289456,-0.01988192711384268,-35.140968258080505
DE,2,50,2.9437379091636275,2.943737909163628,42.8875240557354,42.915348426265474,3.34404906084622,3.4705524364575973,-0.0015275910510781365,0.0015275910510781365,0.910439247387928,-0.9081735351801089,-0.014513322578162902,-0.016820912470471128,-60.49968525825339
DE,2,100,2.0301640011167326,2.0301640011167326,44.8987897543077,44.96313133009838,2.106584637439999,2.224240655074045,-0.0030171601396048464,0.0030171601396049574,1.0036997452619687,-1.0068880468187853,-0.008223593189613132,-0.0048350388437176095,-124.47526488437543
DE,2,150,1.6396303555442453,1.6396303555442453,45.75432729344252,45.70439337269391,1.6444147986775826,1.7015366211100005,-0.0016237425035955377,0.0016237425035955377,1.0415051180031223,-1.040807639813744,-0.006100371777353064,-0.004282726626054945,-187.7382758261079
DE,2,200,1.6560728577489678,1.6560728577489678,45.209646152543726,45.33569487367213,1.6849437827079496,1.841423238441554,-0.0014454806650808782,0.0014454806650809893,1.015622241189271,-1.023965037489236,-0.004007983599301268,-0.0010650200472069327,-251.16046065837665
DE,2,300,1.2495284586690099,1.2495284586690099,44.23682662493137,44.0243249187405,1.2887358491153524,1.3649774929793843,0.0017894495544521494,-0.0017894495544520939,0.9747694379844029,-0.9668038311943047,-0.0028926779192782193,-0.0009010014872490313,-378.4237220656709
DE,3,30,10.95825268690755,10.958252686907551,34.75885320504829,41.45241224138124,20.26129154959773,17.655396884059478,-0.2507511913320638,0.2507511913320639,0.5854479305472824,-0.9121095624818338,-0.4920352557680614,0.3856567902561627,-35.46449127941725
DE,3,50,11.013465007668387,11.013465007668389,33.74089394605911,36.57598592488767,19.802303270500243,18.621731707191202,-0.24258866167168724,0.2425886616716873,0.6384058495337689,-0.7937220688232097,-0.45528034330185485,0.40369885531099853,-61.93496604028286
DE,3,100,10.980894167045296,10.980894167045296,33.54750948816953,35.42705507452997,19.547945892549542,19.019407803413518,-0.23523773666520076,0.23523773666520065,0.659535129193511,-0.7521173428696077,-0.43674221944477365,0.4090695655135049,-126.67419323003226
DE,3,150,11.589266218865298,11.5892662188653,34.96262852583283,36.45938982865296,20.57308882253533,20.284674669839575,-0.26461505204685576,0.26461505204685565,0.7735983312542245,-0.823634659305333,-0.47767528595649067,0.4628859831467485,-192.13272055604273
DE,3,200,11.5406517747,11.5406517747,35.012085273901135,36.39680803557792,20.605144002621024,20.49497213836575,-0.26532740221738893,0.26532740221738893,0.7890602108221718,-0.8297842827248243,-0.47958756291795335,0.4713915680706699,-256.5059876841269
DE,3,300,11.085592544964584,11.085592544964584,33.438372153608874,34.168024814058384,19.57385364086818,19.463554668984393,-0.2409219975047603,0.24092199750476034,0.7005555987180584,-0.7397571384267544,-0.4314126206212754,0.42544637700261295,-386.8409456399231
DE,4,30,11.120765998031853,11.120765998031851,42.12339253599548,35.285038272033795,18.571957185348207,20.456624758771586,0.2530891694954478,-0.25308916949544785,0.9340514480342249,-0.6171372408201597,0.4128771021715439,-0.5055050455122241,-35.82518978272302
DE,4,50,11.224219437000302,11.2242194370003,37.19007443055726,34.52015581766217,18.86612809045375,20.149500482435442,0.248126614034417,-0.24812661403441694,0.8210207040883494,-0.6683639780306844,0.4155775635783941,-0.4747723564580094,-62.08902257519916
DE,4,100,11.267383709989542,11.267383709989542,35.71339824139267,34.26186118878196,19.721463296464854,20.102006103578724,0.25276417141403373,-0.2527641714140336,0.7874366448167908,-0.7212405675599126,0.43854162021899806,-0.45843197441550554,-126.67545460770717
DE,4,150,11.30329372867262,11.30329372867262,36.8182971662661,34.309516620922295,19.705449539230965,20.0868096503361,0.25156077464070237,-0.2515607746407023,0.8092173697149089,-0.7356176942134268,0.4403274863251259,-0.45776095743528755,-191.71612689174088
DE,4,200,11.194923356331437,11.194923356331437,34.50837064102406,33.89687850417162,19.533371104422947,19.921670564745256,0.24708728453137146,-0.2470872845313714,0.756275640357716,-0.708629458864953,0.4323887006111387,-0.4465192162184276,-255.88323154243352
DE,4,300,11.358878606607869,11.358878606607867,36.018896031093846,34.555586686184775,19.853195197845775,20.041645698286622,0.2512738832948803,-0.2512738832948803,0.7875892563268658,-0.7195034364607392,0.4429948157276608,-0.4511726331599848,-385.72458710388196
ECA,1,30,9.686546302629013,10.0223198213063,20.536409451539743,19.932058866034698,19.31927235728004,17.71119414199929,-0.16141803877511962,0.1612577865259036,0.0002830040555068768,0.02316576594928902,-0.6033943123486577,0.38175323385617416,-22.31333832329441
