untuned,tuned
-178.5505866701193,-178.5524363231474
-170.87176730869186,-263.63821842797233
-164.58700402573692,-164.6591198990826
-164.68370141268548,-164.68370137948904
-168.2539883122417,-168.25406776083935
-174.00902356987524,-174.00902333887774
-164.22188124202825,-164.2218814118735
-177.17795628488304,-290.72310409225054
-170.72994887929744,-170.72994877016288
-178.8174143432066,-178.84145290658168
-153.94258385269347,-260.07159518067397
-164.08699876720425,-164.09306618434852
-155.4415396538456,-156.54109120537453
-164.50312369237915,-164.50312259904464
-168.63835970196521,-168.64768763425738
-163.90604140967832,-288.5383588668055
-176.01554095053558,-176.01554024886366
-154.04818808953848,-154.0481879715066
-165.67899283440292,-166.9351144527024
-163.15717806970457,-163.1680662504058
-166.10291115346953,-166.1029251955399
-154.3785532723519,-154.42586871699262
-158.78030896378786,-159.39827582613248
-163.73848568410565,-164.49777742887483
-162.66764262383163,-162.66814245478415
-173.13924239359721,-173.95375690574187
-160.7760781898412,-162.331052162926
-158.32672108032793,-158.32724895508196
-163.02079619552418,-163.02080568349396
-157.4805164732995,-157.5015591964106
-168.27212089042726,-168.2910679506253
-160.67150092370284,-160.67150088882522
-166.89296780744178,-166.89296680641345
-155.62449839913023,-155.62449837437072
-178.4278437625236,-178.42784363538226
-161.0087077699179,-164.96834619685825
-159.1359844963045,-162.92940214873897
-160.12529185316163,-160.12535555589147
-154.233388399478,-154.23338825661904
-166.47186879553382,-166.90280368316667
-166.04865091123668,-166.4612286185009
-172.7013470268486,-172.70395558814022
-155.1584450066121,-155.15876159383959
-175.2637849102124,-175.40368570462687
-167.11671626793336,-167.11983445458822
-175.30143438565784,-175.30148222186904
-166.4775652146545,-261.38557489761405
-155.43634357609358,-205.2145016915572
-146.67535801741872,-146.67536184778805
-165.15007510900682,-165.2583792628401
-151.88420855532763,-153.132269157706
-156.23693071391995,-156.2585746585894
-162.85697480976341,-162.85697459465126
-166.23881365164507,-166.23881428861293
-170.94832437759703,-202.39237197869926
-170.74248861513385,-173.17701344603694
-168.491568194958,-310.34002151093625
-164.06219699212505,-164.06219791966134
-170.06145957887114,-170.06145950024757
-171.28383983220152,-171.28385517720977
-163.55535904230987,-163.55535864551837
-169.76815780996725,-170.20045118101478
-175.61311529732023,-176.17368914155338
-162.75323252687411,-162.75323223473697
-156.98232685561965,-196.02823879373204
-165.8765442137877,-165.87654382907004
-175.01130514583983,-250.42606895873314
-159.95261079890227,-159.9528286108021
-171.67323205499406,-171.67340857052966
-166.60791782310594,-166.60791779757741
-148.684793714006,-148.85300632978928
-171.17729499050137,-171.3725945039544
-171.37442174298718,-171.37442165646684
-171.17540134273813,-171.17592029913678
-184.79738026268276,-184.79839969243005
-162.34941300947625,-175.55189457396182
-173.32300754112356,-173.32300738467603
-164.7296182629133,-164.7333133028798
-160.7103867330062,-160.71038571307824
-168.24738156397007,-168.72548608025795
-161.50067459727984,-161.50067432973913
-161.64258417267774,-161.6429370579662
-175.39897538510053,-163.79635554154933
-174.71196637214135,-174.77737151070832
-163.99638495693688,-163.99638423429025
-166.36921332571984,-167.6846603424628
-167.9503548471473,-167.95035329928902
-155.15276097876543,-155.15276092389144
-173.1182250517099,-173.12001295547924
-145.82967080844747,-145.8683237271736
-174.1535678764498,-174.15357148573378
-164.6583027727865,-164.67161867262683
-167.55876627203716,-167.57269634176618
-163.38798047634418,-163.3879804392909
-156.74765587864619,-156.747655615359
-176.54057328589465,-176.54057305288416
-164.5636270848866,-164.56363260878908
-159.2414097354492,-159.24142373282064
-179.829821942626,-229.16097855371834
-158.13027367497972,-158.20979371958913
-173.46443572656054,-173.4644351040602
-153.47241675072792,-153.47242647749886
-153.19171203464413,-153.191711613825
-164.8117979174759,-164.81181253441872
-170.70057362751385,-170.7258407835062
-174.20354853937948,-174.2078348582031
-180.23836356019552,-180.90052684201382
-172.13045995330458,-196.92602418151984
-177.60455980928975,-342.547321235219
-160.84600202220633,-160.93863651385533
-176.3938296921363,-176.39383161918119
-161.23191238932372,-283.001996135868
-157.71516996488108,-157.71516968269373
-158.9567703536505,-158.95676978088844
-172.020789944697,-199.19029739558528
-170.15802101257776,-187.00473667231273
-168.87530524121354,-168.8753051197881
-164.3600720082004,-284.58113366020154
-164.17055047678423,-164.17055040818082
-173.66781887376908,-173.6679684570366
-161.22209928759776,-161.2360772032656
-173.51563601101617,-173.51563579333424
-162.74495842221847,-162.745544616467
-178.67043442117205,-178.67043422861207
-153.82740880921975,-153.82740877090538
-179.2935606980781,-179.29363781121887
-181.05185678950346,-181.0518560498571
-163.61823357085663,-197.91956984712232
-170.57608535903273,-170.57608507909413
-160.13657984079046,-160.14264228202228
-157.82363981912,-157.91638656243308
-152.6352687613823,-216.7359603838263
-171.14259755720354,-240.73322020424888
-160.0152979783883,-160.16969651757444
-168.01477977807238,-168.01478372915625
-180.56581189845568,-180.57548075855988
-175.5668837708875,-175.57262142092696
-175.2825008341959,-175.282687848977
-179.39615301876535,-179.3961527124183
-166.80680459825993,-166.8068041993202
-152.45551650649142,-152.45551647827824
-168.1743278698816,-168.23716117680783
-161.94194435675112,-184.28556043315965
-163.71021238865086,-163.7102120747819
-176.23825584708686,-176.238254837071
-168.0232041408228,-292.83131090967595
-175.96776488804892,-202.66058955080257
-164.95471554666315,-164.95480224966354
-170.38232250169253,-179.0259366814022
