untuned,tuned
-379.896682327661,-170.63945266426384
-376.8533050796887,-195.89289557377523
-242.1070630673368,-375.11978558708466
-376.7656302833396,-269.41672935058733
-372.60394195072536,-372.35464354462385
-212.37353523062654,-184.61103200811365
-356.95986209612994,-360.13693187381506
-272.64616746781235,-185.35071805814943
-179.17083359350232,-375.4950887038837
-374.6441844868653,-179.19655054987797
-379.2127692166676,-382.1727806765353
-204.59522974993854,-374.61247276126335
-374.4487242444662,-374.45178788503375
-379.47274432661226,-379.4756503730519
-378.61615312647507,-378.4197813037766
-367.1667255660274,-369.17997484895545
-254.71261330706054,-364.0303217346888
-195.53237303921514,-369.89626058062703
-192.3741489399785,-193.16189872644586
-378.45760665806023,-267.1455092043611
-374.70067074860685,-377.5806246917442
-270.5313623487018,-192.29214621447042
-150.822634872732,-223.4682692017036
-189.98162072553637,-370.7344650833895
-188.27100620152908,-246.22412023654664
-379.4025510988723,-208.2762630131101
-241.29455740534303,-254.14681842516558
-193.85871975022957,-175.48673716392543
-377.80367172165387,-375.17049329411907
-370.45439609098077,-180.88442796836694
-373.1528929968726,-374.4938953917044
-377.2809240090047,-380.6904164693504
-245.39467858573067,-368.2628028452087
-375.5311155181055,-278.25987009813474
-364.814269098787,-364.6208782361945
-273.2244444106841,-207.23972546143267
-375.137774257551,-193.82316298747955
-191.50583041255285,-181.3089711280375
-376.3766561764531,-257.4786558184778
-262.87340226974277,-262.8734035860835
-377.9643874612044,-191.8486384402664
-203.51317689749482,-197.69176252759743
-378.6341733897154,-182.50737771642054
-246.68594989060335,-167.79426256077622
-250.41071874482998,-375.72366454679894
-375.58483909410563,-194.51771696257936
-274.8353381766153,-377.77556871808815
-370.7820453219101,-371.55694891294587
-292.73648718038237,-184.4654150604475
-380.19297533865983,-161.09184898645606
-281.7693196471917,-378.10925282916486
-182.46120623671453,-179.4614744277723
-375.6720545717198,-197.94706440012936
-372.49083458384115,-273.2232246443807
-191.50423557522709,-196.79527922693234
-188.07787906334545,-374.3340177551624
-378.1822784768045,-203.01185152541484
-170.562365179447,-236.9896013299831
-374.6904022488413,-226.25941126989642
-373.6811530138115,-170.01591628179395
-256.34596139184555,-163.68651733404033
-166.956810861218,-365.4142647374815
-376.54887009777053,-376.54972441824975
-252.91854254602157,-151.32993906251204
-188.90504001435062,-189.81817386469572
-256.6023332674257,-364.4842932272265
-241.24066161455818,-377.6441213844702
-179.00825125222093,-255.41491289990665
-180.97093143857128,-180.9718554704184
-364.622465775625,-364.29501625999444
-207.45585633665485,-189.85287496568174
-365.9693488310097,-379.3625737624245
-252.38706818626076,-186.41159666237036
-230.84345642223062,-372.10156077198764
-376.2210390708954,-376.22150278886335
-192.5209832385546,-377.8685697683954
-170.34679546276945,-334.5078173043662
-167.55528735170472,-375.3865111916259
-183.85631058789997,-260.4177674461761
-229.0238800571155,-375.0297898186001
-192.02088737282008,-380.4938756473048
-192.29440375452953,-291.57677273791603
-179.35957092173402,-377.648883765676
-180.44148436254505,-204.75270524043447
-198.47037845102466,-377.86747071575525
-187.83932733233877,-162.52332352455701
-372.8494785733056,-185.4204609797263
-376.1855533063677,-195.45419162421223
-194.32744977038158,-301.6606826634129
-196.08173808888924,-196.08184466689335
-257.39174658740916,-258.379938299332
-375.1374172948024,-375.9190528943064
-192.2397934260562,-192.24115872962727
-267.8422178113206,-356.730681932585
-209.04776610457884,-371.8481109937993
-376.30422091642197,-254.3915456973901
-373.4557443715634,-249.3378524332951
-246.7807137742637,-180.67176999238205
-163.21102735667512,-348.56445457175846
-237.65895218917342,-367.4198417718393
-370.7263635818327,-372.0296396425795
-203.6795470617217,-161.70137196315045
-361.8225125490351,-200.85773942598556
-320.81478329100423,-209.56284864432703
-175.69456459136939,-202.4346314646732
-192.4953185488744,-277.69969640123236
-184.11687288460223,-184.1177634047734
-205.58196710703038,-199.11738023155146
-169.23541707589982,-169.309797917331
-278.37071928148305,-280.8575780443135
-177.37544728588432,-376.5589234232541
-183.9693041905275,-375.73303232022846
-188.76281738423359,-250.24276507708913
-196.67629579732147,-371.08470676953254
-266.4382892774361,-190.25454709858565
-375.50088066083975,-246.00638974372254
-370.52004608298625,-183.13929299271206
-253.3858167416563,-377.4721550659252
-209.67098929738967,-217.1124344245767
-368.85128004184514,-370.88586559948106
-363.25485773084483,-173.70951483966098
-227.57950106957645,-175.85301141592228
-192.84144632774735,-377.3445512503157
-377.99149248524077,-376.0636965947181
-375.0121506232616,-174.5829892964459
-380.1080315624603,-186.4866374738304
-241.90246259102315,-214.21229115579462
-254.31250952847924,-367.5449120659982
-378.5212747735679,-373.542601448443
-251.4954721125797,-371.8536882764249
-263.45379921495135,-371.31776017507144
-367.4368140822877,-189.82317276763945
-178.0934561954051,-299.93172717363996
-260.0830839034827,-221.10775495100796
-367.3572781755066,-365.04593189322054
-269.1359669061427,-369.1737229051023
-373.52359744111214,-231.0918071939527
-357.92367936750526,-369.45464791850947
-180.8319600667549,-189.36922870763283
-197.16304507681713,-373.5060000987621
-169.4864424843969,-268.7159905982942
-374.01620970756613,-172.21952109913735
-182.27137907534376,-369.08349958676615
-285.6974678913827,-180.08305556688373
-360.7361753490291,-357.58396535909833
-380.8666866841564,-265.1496570227082
-218.78580757065475,-204.12072487292113
-188.9966883904216,-189.0051792090256
-238.17674990184946,-370.0817091484285
-264.44342285699736,-373.0847651958567
-172.5397161846744,-193.59611826101866
-255.81086978559892,-376.90150127391877
-224.737961014907,-186.54635172110835
-366.048663410484,-192.2828124363656
-372.09142675617295,-375.753562081361
-276.0317981084489,-379.85973585636276
-378.64807612630693,-376.8096935527161
