algorithm,case,n,RMSE_w1,RMSE_w2,RMSE_μ1,RMSE_μ2,RMSE_σ1,RMSE_σ2,bias_w1,bias_w2,bias_μ1,bias_μ2,bias_σ1,bias_σ2,median_loglik
EM,3,150,8.917142243902513,8.917142243902513,33.1757384207795,42.94487287366991,16.179200354015766,18.178525180242147,-0.253173279612602,0.25317327961260194,0.6250131432271911,-1.0504654653435743,-0.42857228826715543,0.5027894343990482,-204.93605541958607
EM,3,200,8.825477006264858,8.825477006264858,32.31530736876909,40.99253564551631,15.787806035718727,17.769371760938103,-0.2503342758491205,0.2503342758491206,0.5658994823186078,-0.9733928181483003,-0.41313096897133916,0.4883955773143505,-273.69375631242633
EM,3,300,9.206032249635678,9.206032249635678,34.08995017646037,43.048044392027634,16.572317748889102,18.642388848685407,-0.2642087939590588,0.2642087939590587,0.6731032471271642,-1.0688142111692231,-0.4464082047519712,0.5223849619826091,-412.3861227832324
EM,4,30,9.670775843869698,9.670775843869698,42.44875373388095,32.01347157373006,16.433400476756685,15.83702710545112,0.26839060706880313,-0.268390607068803,0.9917598597048591,-0.3125170927688292,0.44269229050725073,-0.42092917581029166,-39.13839160638273
EM,4,50,9.359264806819501,9.359264806819501,40.8853354369761,31.844252639898187,16.799212451850806,15.791898764814656,0.26439535642016987,-0.2643953564201699,0.9573640357297153,-0.4159437040120544,0.4565389809752057,-0.41318307700015,-66.08725248238422
EM,4,100,8.864131426812566,8.864131426812566,39.36110666263212,30.952819873047304,16.941098971838255,15.293096748928011,0.25047099863046796,-0.25047099863046796,0.9091612034615344,-0.445063518840336,0.4613111790665992,-0.39915238998032765,-135.1984766937697
EM,4,150,8.528399202827304,8.528399202827304,38.00531986629585,30.300070533424265,16.820285111648047,14.79127511861263,0.24090774247214458,-0.24090774247214453,0.8567866045468217,-0.42986146226496835,0.4550813605431911,-0.38010668843281836,-204.65800230699332
EM,4,200,8.548347278341788,8.548347278341788,38.58987573104261,30.56878814853862,17.050783775560113,15.008803137827908,0.2413117039116094,-0.2413117039116094,0.8684907881557699,-0.46500907423741134,0.4593492011478158,-0.3848786123104103,-273.1480991022383
EM,4,300,8.55668891142546,8.55668891142546,37.918208123981096,30.91298290360677,16.95385120712797,14.968886806318727,0.23991813954224844,-0.2399181395422484,0.8524015511884137,-0.4730858420112156,0.4560781262333162,-0.3823195370915825,-410.75475290398936
DE,1,30,8.470966076877346,8.47096607687735,14.324462355506025,14.54007388839318,22.743219112505326,20.19619646010622,-0.17117249248891303,0.17117249248891314,0.003954096731663943,-0.03650190499267317,-0.561234583351788,0.45314780589635684,-11.478146575640924
DE,1,50,8.230022131675383,8.230022131675385,10.674915329798141,9.98321042449433,22.49702839129908,21.61069126297329,-0.17137351179807586,0.17137351179807597,-0.004223456529044245,0.005069284520026295,-0.523750674743641,0.48225337882049174,-20.712992395536524
DE,1,100,7.874475159450227,7.874475159450229,7.759482983018657,8.04326912714845,22.625365655015496,22.340659224137905,-0.17046147694975722,0.17046147694975738,-0.0027762894382959893,0.008964596470392164,-0.5214965608114639,0.5061597273211835,-43.97552726735783
